Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/All_without_random_20/All_Raw/20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1_sampled09.mzML
P0DOX3	P0DOX3				1.1907e+07
P0DOX5	P0DOX5				4.03389e+09
P0DOX7	P01834;P0DOX7				9.97648e+08
P0DOY3	P0DOY2;P0DOY3				3.21248e+08
P0DP23;P0DP24;P0DP25	P0DP23;P0DP24;P0DP25;P27482				3.12e+06
P0DP58	P0DP58				5.16709e+07
P0DTE1	P0DTE1				6.84853e+06
P10124	P10124				1.95064e+06
P10153	P10153				6.18943e+06
P10253	P10253				1.31182e+06
P10451-3	P10451;P10451-3;P10451-4;P10451-5				2.80677e+08
P10451-5	P10451;P10451-4;P10451-5				1.59648e+07
P10451;P10451-4	P10451;P10451-4				2.56827e+06
P10586;P10586-2	P10586;P10586-2				7.30448e+06
P10599;P10599-2	P10599;P10599-2				7.94729e+06
P10619;P10619-2	P10619;P10619-2				404032
P10636-2;P10636-6	P10636;P10636-8;P10636-6;P10636-2;P10636-3;P10636-4;P10636-5;P10636-7;P10636-9				734071
P10643	P10643				4.11091e+07
P10645	P10645				2.20784e+08
P10721;P10721-2	P10721;P10721-2				4.73628e+06
P10745	P10745				724112
P10768	P10768				2.63741e+06
P10909-6	P10909;P10909-4;P10909-6;P10909-2;P10909-3;P10909-5				3.04266e+09
P10915	P10915				243452
P11021	P11021				6.23241e+06
P11047	P11047				3.91374e+06
P11117	P11117				625185
P11142	P11142				7.5786e+06
P11215;P11215-2	P11215;P11215-2				513818
P11226	P11226				289190
P11279	P11279;P11279-2				9.66722e+06
P11362-18	P11362-14;P11362-18;P11362-19;P11362-21;P11362-7				1.30942e+06
P11362;P11362-2;P11362-20;P11362-8;P11362-9	P11362;P11362-10;P11362-11;P11362-12;P11362-13;P11362-14;P11362-16;P11362-18;P11362-19;P11362-2;P11362-20;P11362-21;P11362-3;P11362-4;P11362-5;P11362-6;P11362-7;P11362-8;P11362-9				1.49467e+07
P11464-4	P11464-4				4.52946e+06
P11597	P11597;P11597-2				675839
P11684	P11684				2.01675e+06
P11717	P11717				2.22206e+06
P12107;P12107-2;P12107-3;P12107-4	P12107;P12107-2;P12107-3;P12107-4				378282
P12109	P12109				4.11207e+07
P12110	P12110;P12110-2;P12110-3				2.57969e+06
P12111	P12111;P12111-2;P12111-4				1.13137e+07
P12111-4	P12111-4				659785
P12259	P12259				1.11884e+07
P12277	P12277				902459
P12314;Q92637;Q92637-3	P12314;Q92637;Q92637-3				7.34134e+06
P12318;P12318-2	P12318;P31994;P31995;P12318-2;P31994-2;P31994-3;P31994-4;P31994-5;P31995-2;P31995-3;P31995-4				5.91541e+06
P12532;P12532-2;P17540	P12532;P17540;P12532-2				187103
P12821;P12821-2	P12821;P12821-2				464166
P12830;P12830-2	P12830;P12830-2				2.75775e+06
P12955;P12955-2	P12955;P12955-2				2.38309e+06
P13284	P13284				449768
P13385;P51864	P13385;P51864				946845
P13473;P13473-2;P13473-3	P13473;P13473-2;P13473-3				7.43158e+07
P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6	P13497;P13497-2;P13497-3;P13497-4;P13497-5;P13497-6				1.5981e+06
P13521	P13521				7.61936e+07
P13591	P13591;P13591-1;P13591-3;P13591-4;P13591-5;P13591-6				2.34719e+08
P13591-3	P13591-1;P13591-3;P13591-4				3.96327e+07
P13598	P13598				1.64482e+06
P13611;P13611-5	P13611;P13611-2;P13611-3;P13611-4;P13611-5				1.33377e+07
