Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/fs/pool/pool-mann-projects/Johannes/Jakob_AD_CSF_data/MagKiel_cohort_Sweden_speclib_OBO/All_Raw/20190210_QX1_PhGe_SA_EASY12-10_Majken_E7_CSF_414.mzML
P01717	P01717				4.139e+07
P01721	P01721				5.86286e+06
P01742	P01742				2.04199e+07
P01768;P0DP03	P01768;P01772;P0DP02;P0DP03				8.19813e+07
P01780	P01780				9.5566e+07
P01814	P01814				6.62768e+06
P01817	P01817				1.3727e+07
P01833	P01833				525375
P01834	P01834				4.8537e+08
P01859	P01859;P01859-1				1.48639e+09
P01860	P01860;P01860-1				1.28097e+08
P01861;P01861-1	P01861;P01861-1				2.05348e+08
P01871;P01871-1	P01871;P0DOX6;P01871-1				1.92228e+08
P01876;P01876-1	P01876;P01876-1				1.4106e+09
P01893	P01893				5.00824e+06
